Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case125,10,0.9162235743950128,1.9924663909489293,1.2116190459849514,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2]",26.0,19.92012619972229
case126,18,1.7855176157030166,3.464587634355328,4.538468124533958,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.8,8.155965328216553
case128,18,1.577148419070109,6.113606513230968,4.516136276018671,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 4]",46.8,21.647629976272583
case129,20,1.6190342207178787,2.128901620697856,0.3545662744491654,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 0, 2, 4, 1, 1, 3, 3]",52.0,498.08817410469055
case130,26,2.2988449558694137,2.7796664279246803,3.943594936429777,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 4]",67.60000000000001,48.11115765571594
case131,10,0.898878216466828,5.875424443332968,0.6838783673245441,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 1, 3]",26.0,4.766937255859375
case132,3,0.4285078803271541,1.6050517077851505,3.7410139342640223,2.6,"[2, 4, 4]",7.800000000000001,1.016904592514038
case133,26,2.39267389326099,1.2205231803269665,2.0371267853695345,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",67.60000000000001,31.04414343833924
case134,0,0.1395622786340645,2.555439049140674,1.4515345515472642,2.6,[],0.0,0.0019571781158447
case136,26,2.243471379489609,4.490517022383922,0.7132969820435697,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 1]",67.60000000000001,82.95633125305176
case141,27,2.538367755645993,5.043020793240564,4.697090218027047,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",70.2,16.300187587738037
case142,26,2.086470581402293,1.3733308652615392,3.683582449154008,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 3]",67.60000000000001,565.0176889896393
case144,33,2.7063547352826416,1.3319373849299578,3.9599990077009606,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 3, 0, 2]",85.8,780.7747645378113
case145,26,2.255791705000096,2.6210219338454914,3.033558561180649,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0]",67.60000000000001,62.4044041633606
case148,11,0.8417429230542786,5.530619582191187,4.470038426494192,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4]",28.6,19.25569748878479
case149,33,2.980464618939347,4.4327444798159865,5.752827398349583,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4]",85.8,79.73045420646667
case150,18,1.665506863082193,0.7358724739659639,3.2536909282417388,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.8,8.715218544006348
case151,18,1.3389299163087376,3.86538181851746,4.878591734594124,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0, 1, 3]",46.8,314.53007912635803
case152,26,2.2354740924477623,0.6822314190330547,2.665700699843,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3]",67.60000000000001,99.7733371257782
case153,26,2.614316277267986,1.3495419080529611,2.2070472997207022,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",67.60000000000001,13.784385681152344
