Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case97,18,1.7924264034802793,4.0311435440064605,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.9925577619771768,46.800000000000004,280.69394540786743
case98,33,2.64777373,4.569849257,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 1, 3, 2]",0.9996379140715549,85.8,286.62305521965027
case99,26,2.032465044,2.920768773,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 1, 1, 3, 1, 2, 2]",0.9999997572608025,67.60000000000001,283.41522002220154
case100,26,2.311653127,6.170547288,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 4, 4, 4]",0.9999721224039224,67.60000000000001,283.70155930519104
case101,25,2.470262049,4.672552375,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",0.995112353840266,65.0,287.083477973938
case102,27,2.419256355,5.866551786,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",0.9986001079216754,70.2,286.18522119522095
case103,29,2.751255351,4.8155712,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",0.9979802009285972,75.4,287.04769492149353
case104,33,2.8462872,1.27406266,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 2, 2, 4, 4, 1]",0.9999886601027603,85.8,286.2226314544678
case105,26,2.611452003,5.290854301,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",0.9910476106130814,67.60000000000001,287.2653889656067
case106,33,2.746770077004797,0.7326540344272247,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2, 0, 4, 4]",0.9998131014146545,85.8,288.5570912361145
case107,10,0.854585158,3.96121178,2.6,"[2, 2, 4, 0, 1, 1, 3, 3, 2, 2]",0.9999755292930758,26.0,283.5926089286804
case108,18,1.376327575,1.007666936,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 2, 3, 2, 4, 4, 1, 1]",0.9999798646651432,46.800000000000004,285.83900141716003
case109,18,1.782079279,5.423671504,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",0.997359432082813,46.800000000000004,289.3340427875519
case110,18,1.71941686,1.34887818,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 4, 4, 1, 1, 3]",0.9966461973943881,46.800000000000004,283.17256331443787
case111,32,3.123380712,4.972968146,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.9941832847910654,83.2,289.0128333568573
case112,19,1.647128873,0.21016068,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1]",0.9980146411041362,49.4,285.4178388118744
case113,25,2.421586179,5.219897869,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",0.9955816259455218,65.0,287.8165764808655
case114,27,2.608910022,4.443553315,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",0.9972050146504791,70.2,287.8387200832367
case115,11,0.848229199,0.353436982,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1]",0.9999887557601673,28.6,284.23967242240906
case116,2,0.241448591,6.062302957,2.6,"[4, 1]",0.9987527905124718,5.2,0.06365108489990234
case117,9,0.661722513,2.285871717,2.6,"[3, 3, 0, 4, 4, 1, 1, 3, 2]",0.9997563347188123,23.400000000000002,279.55066084861755
case118,28,2.702084926,5.125849894,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",0.9949733681247563,72.8,289.7074205875397
case119,10,1.024647204,0.673431072,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9964960277660614,26.0,282.99919033050537
case120,33,2.8328781,5.856128379,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 3, 4]",0.9999434687223885,85.8,291.7054433822632
case121,0,0.022142065,6.06901452,2.6,[],0.9998774372469207,0.0,0.0
case122,33,2.71357491,6.187918227,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 1, 3, 3, 2, 2, 4]",0.9998410480220626,85.8,291.81488943099976
case123,26,2.609891239,0.680417531,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9923877497804062,67.60000000000001,290.53303265571594
case124,19,1.87142149,0.10200254,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.9927302413099326,49.4,287.6717517375946
case125,18,1.434799251,5.829324813,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 2, 2, 4, 4, 4]",0.9999904894555943,46.800000000000004,285.3044466972351
case126,11,0.780310979858489,0.6655324862877777,2.6,"[4, 1, 1, 3, 2, 2, 2, 2, 2, 1, 1]",0.9999584475183836,28.6,285.0602161884308
case127,28,2.783698288,2.075273837,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.9923148207327159,72.8,291.7211899757385
case128,2,0.36107842,5.59968357,2.6,"[4, 4]",0.992302735318221,5.2,0.05922698974609375
case129,1,0.2186504360160321,5.4317032918854125,2.6,[4],0.9959772776425553,2.6,0.008018732070922852
case130,1,0.248935422,1.126769841,2.6,[1],0.9913361461074381,2.6,0.008019685745239258
case131,27,2.624020481,4.872090269,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",0.9932366385751499,70.2,292.33469319343567
case132,19,1.895273337,3.249550372,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",0.9911104219455477,49.4,289.973680973053
case133,29,2.787095562,0.112728806,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",0.996070012409467,75.4,292.05684518814087
case134,27,2.136853062,0.146089833,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3, 2, 2, 4]",0.9999794753161116,70.2,293.09993386268616
case135,11,1.020602433,0.574402976,2.6,"[4, 1, 1, 3, 3, 3, 2, 4, 4, 1, 1]",0.999753653481046,28.6,283.93506693840027
case136,27,2.579253778,5.053475305,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1]",0.9935718474571595,70.2,287.2954616546631
