gate lenght,Theta,Phi,dt,combination,total time,computing time
9,1.542292368,3.619885558,5,"[2, 4, 1, 3, 2, 4, 1, 3, 3]",45,4.392192602
14,2.400511696,3.421694191,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",70,49.84454226
15,2.398352185,5.671565949,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",75,91.31970143
10,1.400320616,4.789540011,5,"[2, 4, 1, 3, 3, 2, 1, 3, 3, 2]",50,80.90873241
11,2.041986807,0.060456841,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",55,4.997067928
17,2.781182399,5.482912562,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 4]",85,160.9062748
10,1.555969374,3.927718814,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2]",50,30.29085302
10,1.602277308,1.322428754,5,"[1, 3, 2, 4, 4, 1, 3, 2, 4, 1]",50,78.94334435
1,0.242456151,5.921957428,5,[4],5,0.018012047
12,2.061328596,3.94486031,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",60,36.7601428
11,1.465119418,3.094274106,5,"[1, 3, 3, 4, 1, 3, 3, 2, 4, 3, 2]",55,162.3119764
18,2.950678265,4.231980912,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,183.4263816
16,2.719681703,4.048658139,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4]",80,114.5564151
19,3.129654613,5.814824056,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2, 1, 1, 3]",95,290.0193605
17,2.732873132,0.3933085,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1, 2, 2, 4]",85,125.0236773
9,1.429071142,0.391275889,5,"[1, 3, 2, 4, 1, 3, 2, 4, 0]",45,11.42149472
11,1.259600283,1.719637347,5,"[4, 1, 3, 2, 4, 1, 3, 1, 2, 4, 0]",55,686.000397
