Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case110,10,0.7363652474213431,5.5822414891696575,2.5452270970025626,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 3, 0]",26.0,13.413855075836182
case111,1,1.2007846909042963,5.076783861629915,4.422073030709126,2.6,[-1],2.6,2067.3424818515778
case112,2,0.25260521259533325,0.07378726911234271,4.510696529306278,2.6,"[4, 4]",5.2,0.0475924015045166
case113,1,1.8626842524757128,0.7673061582459942,4.181730638874899,2.6,[-1],2.6,2089.519380092621
case114,26,2.045753482942157,3.5856336498002506,5.975676008659723,2.6,"[1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0]",67.60000000000001,344.2888481616974
case115,1,0.2785446197267535,2.515555085677323,5.305062522814331,2.6,[1],2.6,0.008381366729736328
case116,11,0.9132149532970496,0.16309889970411112,1.2749968164033938,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 3]",28.6,15.202365636825562
case117,1,1.7448095088892024,0.5415783301373632,4.2914560161103985,2.6,[-1],2.6,2183.914704799652
case118,1,1.8386140584358939,2.6763957581614046,2.9095985841885774,2.6,[-1],2.6,2050.0478694438934
case119,19,1.7123742231315076,2.5189277277115685,0.12481901911117882,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3]",49.4,10.130735397338867
case120,26,2.040236661037536,2.907554938298498,4.519276605788147,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 3, 4, 3]",67.60000000000001,826.7569541931152
case121,10,0.9215235848997951,3.6871394031986897,1.454272430377988,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",26.0,4.567220211029053
case122,1,1.6146487299597176,3.451037304476903,5.930384879854911,2.6,[-1],2.6,2192.329931497574
case123,10,0.6086355495337511,1.142882410206132,5.814633469817356,2.6,"[1, 1, 3, 3, 2, 4, 2, 1, 1, 2]",26.0,64.64026522636414
case124,18,1.4890507369536872,2.9121880586818,2.153247107522308,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 4, 4]",46.800000000000004,42.13347578048706
case125,2,0.2878506028033391,3.7007905370429164,1.746750262635296,2.6,"[3, 2]",5.2,0.027454137802124023
case126,19,1.4433009540979718,6.102316759097838,2.0906467445033465,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 2, 1, 1, 1, 3, 3, 2]",49.4,184.51152515411377
case127,11,1.1345836492351928,0.38241740158305226,6.060234350897757,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1]",28.6,5.98028564453125
case128,1,1.8794935522527834,0.8748513269020448,1.4258859950822826,2.6,[-1],2.6,2223.0383021831512
case129,19,1.479577689660813,0.6416803744205062,5.100095906722883,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 3, 2, 2, 4, 4, 1]",49.4,276.65409684181213
case130,18,1.3095092479077903,2.9238443293310143,5.661566713662694,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 0, 3, 3]",46.800000000000004,517.4326238632202
case131,18,1.4387693163952147,5.856107357191164,2.637763622411861,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 4, 1, 1, 3, 3, 2, 4]",46.800000000000004,112.72886157035828
case132,32,2.7447273495588336,2.8407647548768824,0.3461889874986476,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 1]",83.2,314.95587158203125
case133,27,2.5027831542019405,2.1499350604845238,4.703841213449566,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",70.2,14.879065036773682
case134,1,1.865656850237826,1.99630342632649,3.4330086566467206,2.6,[-1],2.6,2248.62167596817
case135,19,1.4333104435583346,3.9157835536360186,0.17578092032031414,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1, 3, 0, 3]",49.4,386.29536056518555
case136,11,1.0209390977562414,3.1782339808311666,2.1509416045977034,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",28.6,3.928933620452881
case137,10,0.9396394709206072,2.6596483951284435,4.7866925720163405,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",26.0,2.9101173877716064
case138,18,1.3775338337564405,1.3884086551059232,0.8601711552204755,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 1, 1]",46.800000000000004,117.9828143119812
case139,18,1.4014122890549316,5.0341070313327,3.8134104772514017,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 2, 1, 1]",46.800000000000004,118.0232458114624
case140,18,1.4061141349581396,0.3140847173065232,5.713693430895305,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 4, 4, 1, 1]",46.800000000000004,238.74135327339172
case141,10,1.0982235800459903,4.844887847278814,4.654334662778249,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",26.0,2.689342975616455
case142,10,0.7336264069166,4.0037061749754095,4.350293300345877,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 4, 3]",26.0,16.871928691864014
case143,1,1.7508486854789735,4.458501365168938,0.18578313044631822,2.6,[-1],2.6,2222.031096458435
case144,11,1.0864327838013257,1.3385699757012586,4.938038512471788,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",28.6,3.017899990081787
case145,18,1.3929508325920879,4.149617346184155,1.7035064589594169,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 2, 4]",46.800000000000004,112.21906852722168
case146,3,0.43151793432449914,6.263365848813657,3.005227245243088,2.6,"[2, 2, 4]",7.800000000000001,0.8261375427246094
